time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-07T21:36:00.420Z,37.4996667,-118.8723333,2.95,0.69,md,9,224,0.09652,0.13,nc,nc73689851,2022-02-07T23:53:11.492Z,"18km SSE of Mammoth Lakes, CA",earthquake,1.64,3.86,0.121,8,reviewed,nc,nc
2022-02-07T21:29:21.500Z,37.791,-113.3673333,8.68,0.6,md,5,134,0.05791,0.06,uu,uu60480817,2022-02-07T22:40:22.260Z,"21 km NE of Newcastle, Utah",earthquake,0.79,1.51,0.131,5,reviewed,uu,uu
2022-02-07T21:09:39.845Z,-59.2778,-25.5841,35,5.2,mb,,88,7.799,0.78,us,us7000gixf,2022-02-07T21:26:44.040Z,"South Sandwich Islands region",earthquake,9.3,1.9,0.058,100,reviewed,us,us
2022-02-07T21:02:41.400Z,60.5056666666667,-152.7935,3.78,-1.49,ml,4,122,,0.14,av,av91049148,2022-02-08T02:58:55.030Z,"80 km NW of Ninilchik, Alaska",earthquake,0.5,1.4,0.0792664769784022,3,reviewed,av,av
2022-02-07T20:52:08.610Z,46.52016666666667,-121.99316666666667,-0.89,1.16,ml,27,145,0.1085,0.19,uw,uw61815526,2022-02-08T05:04:34.610Z,"22 km E of Morton, Washington",explosion,0.46,31.61,0.0693125447355516,11,reviewed,uw,uw
2022-02-07T20:49:09.400Z,35.6938333,-117.5516667,2.15,1.05,ml,18,90,0.1272,0.14,ci,ci40179488,2022-02-07T23:38:43.052Z,"14km NE of Ridgecrest, CA",earthquake,0.21,0.41,0.115,8,reviewed,ci,ci
2022-02-07T20:47:00.010Z,18.7336666666667,-67.4106666666667,12.04,2.56,md,8,283,,0.28,pr,pr71333468,2022-02-07T21:24:36.640Z,"42 km NW of San Antonio, Puerto Rico",earthquake,1.96,0.79,0.139315810493076,5,reviewed,pr,pr
2022-02-07T20:33:31.640Z,49.12716666666667,-122.09016666666666,-0.8,0.88,md,7,267,0.3652,0.35,uw,uw61815516,2022-02-08T05:18:03.410Z,"10 km WSW of Chilliwack, Canada",explosion,6.17,31.61,0.0760172681090876,3,reviewed,uw,uw
2022-02-07T20:32:08.930Z,40.7135,-112.0531667,8.44,0.56,md,8,95,0.01879,0.12,uu,uu60480792,2022-02-07T21:04:56.650Z,"4 km E of Magna, Utah",earthquake,0.68,1.6,0.196,4,reviewed,uu,uu
2022-02-07T20:28:56.820Z,19.1736666666667,-155.486333333333,33.63,1.66,md,13,271,,0.11,hv,hv72907807,2022-02-07T23:07:37.300Z,"3 km SSW of Pāhala, Hawaii",earthquake,1.24,0.81,0.0576611770086184,7,reviewed,hv,hv
